#  zeta0   kzeta       
0.00000      -0.50000
0.00477      -0.50239
0.00955      -0.50478
0.01432      -0.50717
0.01910      -0.50957
0.02387      -0.51198
0.02864      -0.51440
0.03342      -0.51684
0.03819      -0.51930
0.04296      -0.52178
0.04774      -0.52428
0.05251      -0.52682
0.05729      -0.52939
0.06206      -0.53201
0.06683      -0.53467
0.07161      -0.53739
0.07638      -0.54018
0.08116      -0.54305
0.08593      -0.54601
0.09070      -0.54909
0.09548      0.09671
0.10025      0.10167
0.10503      0.10665
0.10980      0.11164
0.11457      0.11666
0.11935      0.12169
0.12412      0.12674
0.12889      0.13182
0.13367      0.13691
0.13844      0.14203
0.14322      0.14717
0.14799      0.15233
0.15276      0.15752
0.15754      0.16273
0.16231      0.16797
0.16709      0.17323
0.17186      0.17852
0.17663      0.18384
0.18141      0.18919
0.18618      0.19456
0.19095      0.19996
0.19573      0.20540
0.20050      0.21087
0.20528      0.21636
0.21005      0.22189
0.21482      0.22746
0.21960      0.23305
0.22437      0.23869
0.22915      0.24435
0.23392      0.25006
0.23869      0.25580
0.24347      0.26158
0.24824      0.26739
0.25302      0.27325
0.25779      0.27915
0.26256      0.28509
0.26734      0.29107
0.27211      0.29709
0.27688      0.30316
0.28166      0.30927
0.28643      0.31543
0.29121      0.32164
0.29598      0.32789
0.30075      0.33419
0.30553      0.34054
0.31030      0.34695
0.31508      0.35340
0.31985      0.35991
0.32462      0.36647
0.32940      0.37308
0.33417      0.37975
0.33894      0.38648
0.34372      0.39327
0.34849      0.40012
0.35327      0.40703
0.35804      0.41400
0.36281      0.42103
0.36759      0.42813
0.37236      0.43530
0.37714      0.44253
0.38191      0.44983
0.38668      0.45720
0.39146      0.46465
0.39623      0.47217
0.40101      0.47976
0.40578      0.48743
0.41055      0.49518
0.41533      0.50301
0.42010      0.51092
0.42487      0.51892
0.42965      0.52700
0.43442      0.53517
0.43920      0.54343
0.44397      0.55178
0.44874      0.56022
0.45352      0.56876
0.45829      0.57740
0.46307      0.58613
0.46784      0.59497
0.47261      0.60392
0.47739      0.61297
0.48216      0.62214
0.48693      0.63141
0.49171      0.64081
0.49648      0.65032
0.50126      0.65995
0.50603      0.66970
0.51080      0.67959
0.51558      0.68960
0.52035      0.69975
0.52513      0.71003
0.52990      0.72046
0.53467      0.73103
0.53945      0.74175
0.54422      0.75262
0.54899      0.76365
0.55377      0.77484
0.55854      0.78619
0.56332      0.79772
0.56809      0.80942
0.57286      0.82130
0.57764      0.83336
0.58241      0.84561
0.58719      0.85806
0.59196      0.87071
0.59673      0.88357
0.60151      0.89664
0.60628      0.90993
0.61106      0.92344
0.61583      0.93720
0.62060      0.95119
0.62538      0.96543
0.63015      0.97993
0.63492      0.99469
0.63970      1.00973
0.64447      1.02505
0.64925      1.04067
0.65402      1.05659
0.65879      1.07282
0.66357      1.08937
0.66834      1.10627
0.67312      1.12351
0.67789      1.14112
0.68266      1.15910
0.68744      1.17747
0.69221      1.19624
0.69698      1.21544
0.70176      1.23507
0.70653      1.25516
0.71131      1.27572
0.71608      1.29678
0.72085      1.31835
0.72563      1.34046
0.73040      1.36313
0.73518      1.38639
0.73995      1.41026
0.74472      1.43477
0.74950      1.45995
0.75427      1.48584
0.75905      1.51247
0.76382      1.53987
0.76859      1.56809
0.77337      1.59716
0.77814      1.62714
0.78291      1.65808
0.78769      1.69002
0.79246      1.72303
0.79724      1.75716
0.80201      1.79248
0.80678      1.82908
0.81156      1.86702
0.81633      1.90639
0.82111      1.94729
0.82588      1.98983
0.83065      2.03411
0.83543      2.08026
0.84020      2.12842
0.84497      2.17875
0.84975      2.23141
0.85452      2.28659
0.85930      2.34451
0.86407      2.40540
0.86884      2.46953
0.87362      2.53720
0.87839      2.60876
0.88317      2.68459
0.88794      2.76516
0.89271      2.85097
0.89749      2.94264
0.90226      3.04086
0.90704      3.14647
0.91181      3.26044
0.91658      3.38397
0.92136      3.51848
0.92613      3.66570
0.93090      3.82780
0.93568      4.00749
0.94045      4.20822
0.94523      4.43448
0.95000      4.69221
