# nx 200 
# ny 200 
# zeta0    alpha   kzeta       
0.00000      0.00000      -0.00000
0.00000      0.01005      -0.00000
0.00000      0.02010      -0.00000
0.00000      0.03015      -0.00000
0.00000      0.04020      -0.00000
0.00000      0.05025      -0.00000
0.00000      0.06030      -0.00000
0.00000      0.07035      -0.00000
0.00000      0.08040      -0.00000
0.00000      0.09045      -0.00000
0.00000      0.10050      -0.00000
0.00000      0.11055      -0.00000
0.00000      0.12060      -0.00000
0.00000      0.13065      -0.00000
0.00000      0.14070      -0.00000
0.00000      0.15075      -0.00000
0.00000      0.16080      -0.00000
0.00000      0.17085      -0.00000
0.00000      0.18090      -0.00000
0.00000      0.19095      -0.00000
0.00000      0.20101      -0.00000
0.00000      0.21106      -0.00000
0.00000      0.22111      -0.00000
0.00000      0.23116      -0.00000
0.00000      0.24121      -0.00000
0.00000      0.25126      -0.00000
0.00000      0.26131      -0.00000
0.00000      0.27136      -0.00000
0.00000      0.28141      -0.00000
0.00000      0.29146      -0.00000
0.00000      0.30151      -0.00000
0.00000      0.31156      -0.00000
0.00000      0.32161      -0.00000
0.00000      0.33166      -0.00000
0.00000      0.34171      -0.00000
0.00000      0.35176      -0.00000
0.00000      0.36181      -0.00000
0.00000      0.37186      -0.00000
0.00000      0.38191      -0.00000
0.00000      0.39196      -0.00000
0.00000      0.40201      -0.00000
0.00000      0.41206      -0.00000
0.00000      0.42211      -0.00000
0.00000      0.43216      -0.00000
0.00000      0.44221      -0.00000
0.00000      0.45226      -0.00000
0.00000      0.46231      -0.00000
0.00000      0.47236      -0.00000
0.00000      0.48241      -0.00000
0.00000      0.49246      -0.00000
0.00000      0.50251      -0.00000
0.00000      0.51256      -0.00000
0.00000      0.52261      -0.00000
0.00000      0.53266      -0.00000
0.00000      0.54271      -0.00000
0.00000      0.55276      -0.00000
0.00000      0.56281      -0.00000
0.00000      0.57286      -0.00000
0.00000      0.58291      -0.00000
0.00000      0.59296      -0.00000
0.00000      0.60302      -0.00000
0.00000      0.61307      -0.00000
0.00000      0.62312      -0.00000
0.00000      0.63317      -0.00000
0.00000      0.64322      -0.00000
0.00000      0.65327      -0.00000
0.00000      0.66332      -0.00000
0.00000      0.67337      -0.00000
0.00000      0.68342      -0.00000
0.00000      0.69347      -0.00000
0.00000      0.70352      -0.00000
0.00000      0.71357      -0.00000
0.00000      0.72362      -0.00000
0.00000      0.73367      -0.00000
0.00000      0.74372      -0.00000
0.00000      0.75377      -0.00000
0.00000      0.76382      -0.00000
0.00000      0.77387      -0.00000
0.00000      0.78392      -0.00000
0.00000      0.79397      -0.00000
0.00000      0.80402      -0.00000
0.00000      0.81407      -0.00000
0.00000      0.82412      -0.00000
0.00000      0.83417      -0.00000
0.00000      0.84422      -0.00000
0.00000      0.85427      -0.00000
0.00000      0.86432      -0.00000
0.00000      0.87437      -0.00000
0.00000      0.88442      -0.00000
0.00000      0.89447      -0.00000
0.00000      0.90452      -0.00000
0.00000      0.91457      -0.00000
0.00000      0.92462      -0.00000
0.00000      0.93467      -0.00000
0.00000      0.94472      -0.00000
0.00000      0.95477      -0.00000
0.00000      0.96482      -0.00000
0.00000      0.97487      -0.00000
0.00000      0.98492      -0.00000
0.00000      0.99497      -0.00000
0.00000      1.00503      -0.00000
0.00000      1.01508      -0.00000
0.00000      1.02513      -0.00000
0.00000      1.03518      -0.00000
0.00000      1.04523      -0.00000
0.00000      1.05528      -0.00000
0.00000      1.06533      -0.00000
0.00000      1.07538      -0.00000
0.00000      1.08543      -0.00000
0.00000      1.09548      -0.00000
0.00000      1.10553      -0.00000
0.00000      1.11558      -0.00000
0.00000      1.12563      -0.00000
0.00000      1.13568      -0.00000
0.00000      1.14573      -0.00000
0.00000      1.15578      -0.00000
0.00000      1.16583      -0.00000
0.00000      1.17588      -0.00000
0.00000      1.18593      -0.00000
0.00000      1.19598      -0.00000
0.00000      1.20603      -0.00000
0.00000      1.21608      -0.00000
0.00000      1.22613      -0.00000
0.00000      1.23618      -0.00000
0.00000      1.24623      -0.00000
0.00000      1.25628      -0.00000
0.00000      1.26633      -0.00000
0.00000      1.27638      -0.00000
0.00000      1.28643      -0.00000
0.00000      1.29648      -0.00000
0.00000      1.30653      -0.00000
0.00000      1.31658      -0.00000
0.00000      1.32663      -0.00000
0.00000      1.33668      -0.00000
0.00000      1.34673      -0.00000
0.00000      1.35678      -0.00000
0.00000      1.36683      -0.00000
0.00000      1.37688      -0.00000
0.00000      1.38693      -0.00000
0.00000      1.39698      -0.00000
0.00000      1.40704      -0.00000
0.00000      1.41709      -0.00000
0.00000      1.42714      -0.00000
