#  zeta0   kzeta       
0.00000      0.00000
0.00477      -0.19605
0.00955      0.27815
0.01432      0.34176
0.01910      0.39592
0.02387      0.44410
0.02864      0.48809
0.03342      0.52895
0.03819      0.56735
0.04296      0.60379
0.04774      0.63860
0.05251      0.67205
0.05729      0.70433
0.06206      0.73562
0.06683      0.76603
0.07161      0.79569
0.07638      0.82467
0.08116      0.85305
0.08593      0.88091
0.09070      0.90829
0.09548      0.93524
0.10025      0.96181
0.10503      0.98805
0.10980      1.01397
0.11457      1.03961
0.11935      1.06501
0.12412      1.09017
0.12889      1.11514
0.13367      1.13993
0.13844      1.16455
0.14322      1.18903
0.14799      1.21339
0.15276      1.23763
0.15754      1.26178
0.16231      1.28584
0.16709      1.30984
0.17186      1.33377
0.17663      1.35766
0.18141      1.38151
0.18618      1.40534
0.19095      1.42916
0.19573      1.45296
0.20050      1.47678
0.20528      1.50060
0.21005      1.52445
0.21482      1.54833
0.21960      1.57224
0.22437      1.59621
0.22915      1.62022
0.23392      1.64430
0.23869      1.66845
0.24347      1.69268
0.24824      1.71699
0.25302      1.74139
0.25779      1.76589
0.26256      1.79050
0.26734      1.81522
0.27211      1.84006
0.27688      1.86503
0.28166      1.89013
0.28643      1.91538
0.29121      1.94077
0.29598      1.96632
0.30075      1.99204
0.30553      2.01792
0.31030      2.04399
0.31508      2.07024
0.31985      2.09668
0.32462      2.12332
0.32940      2.15017
0.33417      2.17724
0.33894      2.20453
0.34372      2.23206
0.34849      2.25982
0.35327      2.28784
0.35804      2.31611
0.36281      2.34465
0.36759      2.37346
0.37236      2.40256
0.37714      2.43195
0.38191      2.46164
0.38668      2.49165
0.39146      2.52198
0.39623      2.55265
0.40101      2.58366
0.40578      2.61502
0.41055      2.64675
0.41533      2.67886
0.42010      2.71135
0.42487      2.74425
0.42965      2.77757
0.43442      2.81130
0.43920      2.84548
0.44397      2.88012
0.44874      2.91522
0.45352      2.95080
0.45829      2.98689
0.46307      3.02348
0.46784      3.06061
0.47261      3.09828
0.47739      3.13652
0.48216      3.17533
0.48693      3.21475
0.49171      3.25478
0.49648      3.29546
0.50126      3.33679
0.50603      3.37880
0.51080      3.42152
0.51558      3.46496
0.52035      3.50916
0.52513      3.55413
0.52990      3.59989
0.53467      3.64649
0.53945      3.69394
0.54422      3.74228
0.54899      3.79153
0.55377      3.84172
0.55854      3.89290
0.56332      3.94509
0.56809      3.99833
0.57286      4.05266
0.57764      4.10811
0.58241      4.16473
0.58719      4.22256
0.59196      4.28164
0.59673      4.34203
0.60151      4.40376
0.60628      4.46690
0.61106      4.53149
0.61583      4.59759
0.62060      4.66527
0.62538      4.73457
0.63015      4.80558
0.63492      4.87835
0.63970      4.95297
0.64447      5.02950
0.64925      5.10802
0.65402      5.18863
0.65879      5.27141
0.66357      5.35645
0.66834      5.44386
0.67312      5.53374
0.67789      5.62620
0.68266      5.72137
0.68744      5.81936
0.69221      5.92031
0.69698      6.02436
0.70176      6.13167
0.70653      6.24239
0.71131      6.35669
0.71608      6.47477
0.72085      6.59680
0.72563      6.72301
0.73040      6.85361
0.73518      6.98885
0.73995      7.12897
0.74472      7.27426
0.74950      7.42502
0.75427      7.58156
0.75905      7.74423
0.76382      7.91340
0.76859      8.08948
0.77337      8.27290
0.77814      8.46414
0.78291      8.66372
0.78769      8.87219
0.79246      9.09019
0.79724      9.31837
0.80201      9.55748
0.80678      9.80833
0.81156      10.07181
0.81633      10.34892
0.82111      10.64073
0.82588      10.94846
0.83065      11.27346
0.83543      11.61724
0.84020      11.98148
0.84497      12.36806
0.84975      12.77912
0.85452      13.21708
0.85930      13.68466
0.86407      14.18500
0.86884      14.72166
0.87362      15.29878
0.87839      15.92111
0.88317      16.59420
0.88794      17.32453
0.89271      18.11976
0.89749      18.98894
0.90226      19.94291
0.90704      20.99474
0.91181      22.16033
0.91658      23.45920
0.92136      24.91562
0.92613      26.56015
0.93090      28.43178
0.93568      30.58107
0.94045      33.07480
0.94523      36.00305
0.95000      39.49026
